Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
ACF	F	J	2023	0000000	20230320	183100	 	0000032000	Y	D	00020
ACF	F	J	2023	0000000	20230320	183100	 	0000032000	Y	D	00020
AMF	F	H	2023	0000000	20230320	150422	 	0000053600	Y	D	00069
FEF	C	J	2023	0013000	20230320	222728	 	0000000735	Y	D	00150
FEF	P	J	2023	0013000	20230320	222728	 	0000000840	Y	D	00150
FEF	C	K	2023	0013000	20230320	222728	 	0000000735	Y	D	00150
FEF	P	K	2023	0013000	20230320	222728	 	0000000840	Y	D	00150
FEF	C	M	2023	0013000	20230320	222728	 	0000000735	Y	D	00150
FEF	P	M	2023	0013000	20230320	222728	 	0000000840	Y	D	00150
FEF	F	N	2023	0000000	20230320	113838	 	0000012530	Y	D	00050
MKP	F	U	2023	0000000	20230320	144724	 	0000000837	Y	D	00044
MKP	F	U	2023	0000000	20230320	144724	 	0000000837	Y	D	00044
MKP	F	U	2023	0000000	20230320	144724	 	0000000837	Y	D	00044
SMP	F	H	2023	0000000	20230320	150733	 	0000027300	Y	D	00528
SMP	F	J	2023	0000000	20230320	151022	 	0000027600	Y	D	01823
SMP	F	K	2023	0000000	20230320	151256	 	0000028100	Y	D	01203
SMP	F	M	2023	0000000	20230320	151443	 	0000028800	Y	D	00306
WMP	C	H	2023	0004500	20230320	151730	 	0000000005	Y	D	00700
WMP	C	J	2023	0004500	20230320	151854	 	0000000005	Y	D	00100
WMP	C	K	2023	0004500	20230320	152014	 	0000000005	Y	D	00100
WMP	C	M	2023	0004500	20230320	152132	 	0000000005	Y	D	00100
